video,original_n_clusters,n_frames_kept,truncation_sec,n_clusters,n_noise
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,1,0.2,1,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,2,0.4,1,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,3,0.6,1,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,4,0.8,2,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,5,1.0,2,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,6,1.2,2,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,7,1.4,2,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,8,1.6,2,0
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,9,1.8,2,1
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,10,2.0,2,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,11,2.2,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,12,2.4,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,13,2.6,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,14,2.8,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,15,3.0,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,16,3.2,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,17,3.4,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,18,3.6,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,19,3.8,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,20,4.0,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,21,4.2,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,22,4.4,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,23,4.6,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,24,4.8,3,2
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,25,5.0,3,3
10011_64747fa7-c7b9-46fc-ac9d-ea9a514d91df,4,26,5.2,4,3
