Repetition,Sample size,Reliability,metric,kind,category,type
0,1.0,0.47215562742403866,correlation,all,all,data
0,1.0,0.15661811997738465,correlation,shuffled,all,data
0,1.0,0.47932292861322107,correlation,2.0,all,data
0,1.0,0.37474609774867607,correlation,5.0,all,data
0,1.0,0.5033417239968654,correlation,1.0,all,data
0,1.0,0.500620606209665,correlation,0.0,all,data
0,1.0,0.3685531389826594,correlation,3.0,all,data
0,1.0,0.3363111380160034,correlation,7.0,all,data
0,1.0,0.5026565503598335,correlation,4.0,all,data
0,1.0,0.5102192819692077,correlation,6.0,all,data
0,1.0,0.0970990391722099,MSE,all,all,data
0,1.0,0.1538248337028825,MSE,shuffled,all,data
0,1.0,0.1007936507936508,MSE,2.0,all,data
0,1.0,0.11711711711711711,MSE,5.0,all,data
0,1.0,0.08798283261802575,MSE,1.0,all,data
0,1.0,0.07758620689655173,MSE,0.0,all,data
0,1.0,0.12307692307692308,MSE,3.0,all,data
0,1.0,0.15,MSE,7.0,all,data
0,1.0,0.09907407407407408,MSE,4.0,all,data
0,1.0,0.07675438596491228,MSE,6.0,all,data
0,1.0,-0.05452537914461053,r2,all,all,data
0,1.0,-0.6744220645107206,r2,shuffled,all,data
0,1.0,-0.04496946517796574,r2,2.0,all,data
0,1.0,0.08252615265401009,r2,5.0,all,data
0,1.0,-0.05092215963504931,r2,1.0,all,data
0,1.0,0.14553571428571432,r2,0.0,all,data
0,1.0,-0.1670357292477107,r2,3.0,all,data
0,1.0,-0.6403542549095111,r2,7.0,all,data
0,1.0,-0.09470157068062823,r2,4.0,all,data
0,1.0,0.3186184519489389,r2,6.0,all,data
1,1.0,0.4993037537584041,correlation,all,all,data
1,1.0,0.14798309771614435,correlation,shuffled,all,data
1,1.0,0.4690370370370369,correlation,2.0,all,data
1,1.0,0.4164841387702113,correlation,5.0,all,data
1,1.0,0.5019074557451615,correlation,1.0,all,data
1,1.0,0.7075320986770376,correlation,0.0,all,data
1,1.0,0.5396824089844807,correlation,3.0,all,data
1,1.0,0.4877301777247556,correlation,7.0,all,data
1,1.0,0.4650455238126247,correlation,4.0,all,data
1,1.0,0.6132983636163444,correlation,6.0,all,data
1,1.0,0.09663710273466371,MSE,all,all,data
1,1.0,0.15631929046563192,MSE,shuffled,all,data
1,1.0,0.08333333333333333,MSE,2.0,all,data
1,1.0,0.11936936936936937,MSE,5.0,all,data
1,1.0,0.09245350500715308,MSE,1.0,all,data
1,1.0,0.06896551724137931,MSE,0.0,all,data
1,1.0,0.09871794871794871,MSE,3.0,all,data
1,1.0,0.1357142857142857,MSE,7.0,all,data
1,1.0,0.09537037037037037,MSE,4.0,all,data
1,1.0,0.125,MSE,6.0,all,data
1,1.0,0.02001442581554025,r2,all,all,data
1,1.0,-0.6880276237465921,r2,shuffled,all,data
1,1.0,0.05817966734047875,r2,2.0,all,data
1,1.0,-0.33798269404623515,r2,5.0,all,data
1,1.0,0.003350533723786131,r2,1.0,all,data
1,1.0,0.2780682101070451,r2,0.0,all,data
1,1.0,-0.1223021582733812,r2,3.0,all,data
1,1.0,0.043715846994535346,r2,7.0,all,data
1,1.0,0.010535959688502072,r2,4.0,all,data
1,1.0,0.5270217103616008,r2,6.0,all,data
2,1.0,0.4705136128424244,correlation,all,all,data
2,1.0,0.15076794075554964,correlation,shuffled,all,data
2,1.0,0.4785182601186996,correlation,2.0,all,data
2,1.0,0.45590905448852526,correlation,5.0,all,data
2,1.0,0.47138646091135805,correlation,1.0,all,data
2,1.0,0.13309397445557566,correlation,0.0,all,data
2,1.0,0.47270581895267627,correlation,3.0,all,data
2,1.0,0.46095861875851146,correlation,7.0,all,data
2,1.0,0.5217446271207257,correlation,4.0,all,data
2,1.0,0.4903506479184454,correlation,6.0,all,data
2,1.0,0.09663710273466371,MSE,all,all,data
2,1.0,0.16860679970436068,MSE,shuffled,all,data
2,1.0,0.09841269841269841,MSE,2.0,all,data
2,1.0,0.11599099099099099,MSE,5.0,all,data
2,1.0,0.09245350500715308,MSE,1.0,all,data
2,1.0,0.10057471264367816,MSE,0.0,all,data
2,1.0,0.10256410256410256,MSE,3.0,all,data
2,1.0,0.11666666666666667,MSE,7.0,all,data
2,1.0,0.08148148148148149,MSE,4.0,all,data
2,1.0,0.10964912280701754,MSE,6.0,all,data
2,1.0,-0.03852683208200536,r2,all,all,data
2,1.0,-0.8383353157286579,r2,shuffled,all,data
2,1.0,-0.02611528268551222,r2,2.0,all,data
2,1.0,0.10398860398860399,r2,5.0,all,data
2,1.0,-0.12197510712099557,r2,1.0,all,data
2,1.0,-0.6497490239821531,r2,0.0,all,data
2,1.0,0.07577098078867539,r2,3.0,all,data
2,1.0,-0.004234122042340971,r2,7.0,all,data
2,1.0,0.16322314049586772,r2,4.0,all,data
2,1.0,0.05068990559186637,r2,6.0,all,data
3,1.0,0.4737313445934427,correlation,all,all,data
3,1.0,0.16447399043718297,correlation,shuffled,all,data
3,1.0,0.5560473721827915,correlation,2.0,all,data
3,1.0,0.42190956527321466,correlation,5.0,all,data
3,1.0,0.447225595904062,correlation,1.0,all,data
3,1.0,0.20356358233167282,correlation,0.0,all,data
3,1.0,0.5302716320138278,correlation,3.0,all,data
3,1.0,0.6149063540110667,correlation,7.0,all,data
3,1.0,0.4744834577050772,correlation,4.0,all,data
3,1.0,0.5091047896566571,correlation,6.0,all,data
3,1.0,0.10171840354767184,MSE,all,all,data
3,1.0,0.15336289726533628,MSE,shuffled,all,data
3,1.0,0.09285714285714286,MSE,2.0,all,data
3,1.0,0.11486486486486487,MSE,5.0,all,data
3,1.0,0.094241773962804,MSE,1.0,all,data
